,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
320,sanming,14,CN,1587341372,67,26.25,117.62,72.72,1.32
321,redmond,77,US,1587341497,55,47.67,-122.12,64.0,3.65
322,lagos,20,NG,1587341510,88,6.58,3.75,80.6,2.24
323,mar del plata,29,AR,1587341512,82,-38.0,-57.56,66.2,6.93
324,rovaniemi,97,FI,1587341513,92,66.5,25.72,39.2,5.82
325,richmond,75,US,1587341238,52,37.55,-77.46,64.99,8.05
326,waingapu,92,ID,1587341516,70,-9.66,120.26,81.41,2.93
327,vicuna,90,CL,1587341518,93,-30.03,-70.71,62.01,3.36
328,melfi,75,IT,1587341519,93,41.0,15.65,59.0,2.24
329,ambon,40,ID,1587341521,74,-3.7,128.18,84.2,2.24
330,belebey,99,RU,1587341522,71,54.12,54.12,37.56,4.65
331,evensk,100,RU,1587341523,92,61.95,159.23,14.13,8.72
332,russkiy kameshkir,98,RU,1587341525,71,52.86,46.09,38.52,2.64
333,hovd,0,MN,1587341526,36,48.01,91.64,37.11,0.54
334,saravan,40,AM,1587341266,87,39.72,45.65,44.6,6.93
335,porumbacu de jos,90,RO,1587341529,87,45.75,24.45,48.2,4.7
336,dod ballapur,20,IN,1587341530,100,13.29,77.54,73.4,6.93
337,dongying,20,CN,1587341531,35,37.46,118.49,56.79,20.94
338,san rafael,1,AR,1587341533,34,-34.62,-68.33,66.72,5.08
339,ancud,40,CL,1587341535,81,-41.87,-73.82,50.0,5.82
340,fujin,100,CN,1587341537,51,47.26,132.03,51.1,21.14
341,loandjili,86,CG,1587341539,86,-4.76,11.86,78.98,1.68
342,naze,40,JP,1587341541,72,28.37,129.48,68.0,12.75
343,labuhan,92,ID,1587341542,79,-6.88,112.21,81.0,2.37
344,akbarpur,59,IN,1587341545,41,26.42,82.55,76.44,7.52
345,pisco,0,PE,1587341547,73,-13.7,-76.22,71.6,17.22
346,yerofey pavlovich,68,RU,1587341549,73,53.97,121.97,20.43,14.79
347,patiya,79,BD,1587341551,92,22.29,91.98,73.98,3.56
348,kerema,49,PG,1587341279,69,-7.96,145.78,85.14,1.97
349,tomatlan,9,MX,1587341553,52,19.93,-105.25,82.27,10.16
350,iqaluit,20,CA,1587341555,70,63.75,-68.51,1.4,8.05
